front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s],rw_speed[rad/s],lw_speeed[rad/s]
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5563052,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5564396,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5565264,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5566452,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.556767,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5568612,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5569553,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5570545,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5571418,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5572197,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5573015,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5573783,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.557455,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5575316,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5576067,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.557685,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5578442,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5579567,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5580668,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5808735,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5812201,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5813482,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5814326,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5815084,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5815818,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5816545,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.581736,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5818634,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.581939,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5820196,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5821166,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5822062,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.582282,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.582366,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5824418,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5825255,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5825975,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5826805,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5827534,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.582836,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.582907,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.58298,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5830507,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.583141,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5832202,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5832963,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5833688,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5834432,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5835161,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5835905,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5836618,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5837348,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5838063,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5838804,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5839522,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.584025,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5840962,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.5841815,0.0,0.0
