front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s]
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.011125802993774414
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.011397123336791992
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.011539459228515625
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.011655330657958984
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.01179647445678711
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.011883020401000977
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.011971473693847656
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.012076377868652344
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.012181997299194336
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.012257575988769531
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.012362003326416016
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.012481689453125
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.012559890747070312
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.012634038925170898
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.012706995010375977
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.012778997421264648
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.01285243034362793
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.012924432754516602
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.012996196746826172
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.013067007064819336
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.013137578964233398
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.013220787048339844
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.013297080993652344
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.013388395309448242
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.013468027114868164
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.013576507568359375
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.01366877555847168
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.01374673843383789
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.013822555541992188
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.013898611068725586
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.013974428176879883
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.014062881469726562
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.014148950576782227
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.014234781265258789
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.014320611953735352
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.014425516128540039
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.01451420783996582
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.01460886001586914
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.025991201400756836
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.02621912956237793
876.0,892.0,0.3,500.0,16.0,0.08186788792469124,1015.4490612059146,0.026340484619140625
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.026427745819091797
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.026535987854003906
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.02664780616760254
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.02675175666809082
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.026834487915039062
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.026909589767456055
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.02698826789855957
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.02706599235534668
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.027162790298461914
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.027250051498413086
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.027328014373779297
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.027439355850219727
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.02755260467529297
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.027633190155029297
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.02772068977355957
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.027854204177856445
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.02793717384338379
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.02804732322692871
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.028133392333984375
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.028249025344848633
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.02835869789123535
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.02847599983215332
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.02855515480041504
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.02863311767578125
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.028710126876831055
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.028789520263671875
881.0,894.0,0.3,500.0,13.0,0.06656816377582381,1022.9293438345956,0.02886652946472168
