,time[s],front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2
0,1663874501.1663508,342.0,125.5,0.0,500.0,-216.5,-0.5414401163685437,381.2076546671354,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
1,1663874501.1698804,342.0,125.5,0.0,500.0,-216.5,-0.5414401163685437,381.2076546671354,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
2,1663874501.1783493,342.0,125.5,0.0,500.0,-216.5,-0.5414401163685437,381.2076546671354,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
3,1663874501.1819353,342.0,133.5,0.0,500.0,-208.5,-0.5249600022283647,387.2414347794898,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
4,1663874501.1845071,342.0,133.5,0.0,500.0,-208.5,-0.5249600022283647,387.2414347794898,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
5,1663874501.1868145,342.0,133.5,0.0,500.0,-208.5,-0.5249600022283647,387.2414347794898,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
6,1663874501.200272,342.0,133.5,0.0,500.0,-208.5,-0.5249600022283647,387.2414347794898,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
7,1663874501.2028985,342.0,133.5,0.0,500.0,-208.5,-0.5249600022283647,387.2414347794898,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
8,1663874501.2114258,342.0,133.5,0.0,500.0,-208.5,-0.5249600022283647,387.2414347794898,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
9,1663874501.2198532,342.0,133.5,0.0,500.0,-208.5,-0.5249600022283647,387.2414347794898,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
10,1663874501.2281234,342.0,133.5,0.0,500.0,-208.5,-0.5249600022283647,387.2414347794898,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
11,1663874501.2307,342.0,133.5,0.0,500.0,-208.5,-0.5249600022283647,387.2414347794898,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
12,1663874501.2332778,342.0,133.5,0.0,500.0,-208.5,-0.5249600022283647,387.2414347794898,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
13,1663874501.2417033,342.0,133.5,0.0,500.0,-208.5,-0.5249600022283647,387.2414347794898,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
14,1663874501.2492828,342.5,133.5,0.0,500.0,-209.0,-0.5259994038514408,387.2963856188456,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
15,1663874501.2624297,341.0,133.0,0.0,500.0,-208.0,-0.5239193476851991,386.7530660492326,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
16,1663874501.2653918,341.0,126.5,0.0,500.0,-214.5,-0.5373501421991342,381.8557507733084,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
17,1663874501.2680373,341.0,126.5,0.0,500.0,-214.5,-0.5373501421991342,381.8557507733084,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
18,1663874501.292399,341.0,126.5,0.0,500.0,-214.5,-0.5373501421991342,381.8557507733084,0.0,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
19,1663874501.3126502,341.0,126.5,0.0,500.0,-214.5,-0.5373501421991342,381.8557507733084,0.0384509414434433,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
20,1663874501.3157492,344.5,132.0,0.0,500.0,-212.5,-0.5332401364429242,386.3758268884503,0.0384509414434433,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
21,1663874501.3183572,344.5,132.0,0.0,500.0,-212.5,-0.5332401364429242,386.3758268884503,0.0384509414434433,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
22,1663874501.3209972,344.5,132.0,0.0,500.0,-212.5,-0.5332401364429242,386.3758268884503,0.0384509414434433,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
23,1663874501.324077,344.5,132.0,0.0,500.0,-212.5,-0.5332401364429242,386.3758268884503,0.0384509414434433,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
24,1663874501.3423014,344.5,132.0,0.0,500.0,-212.5,-0.5332401364429242,386.3758268884503,0.0384509414434433,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
25,1663874501.3728592,344.5,132.0,0.0,500.0,-212.5,-0.5332401364429242,386.3758268884503,0.0384509414434433,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
26,1663874501.393024,344.5,132.0,0.0,500.0,-212.5,-0.5332401364429242,386.3758268884503,0.1153528168797493,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
27,1663874501.3960934,345.5,132.0,0.0,500.0,-213.5,-0.5352976438092366,386.479166836926,0.1153528168797493,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
28,1663874501.3987484,345.5,132.0,0.0,500.0,-213.5,-0.5352976438092366,386.479166836926,0.1153528168797493,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
29,1663874501.4281013,345.5,132.0,0.0,500.0,-213.5,-0.5352976438092366,386.479166836926,0.1153528168797493,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
30,1663874501.442971,345.5,133.5,0.0,500.0,-212.0,-0.5322095041138785,387.61597964510014,0.1153528168797493,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
31,1663874501.4464772,345.5,133.5,0.0,500.0,-212.0,-0.5322095041138785,387.61597964510014,0.1153528168797493,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
32,1663874501.4552772,345.5,133.5,0.0,500.0,-212.0,-0.5322095041138785,387.61597964510014,0.1153528168797493,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
33,1663874501.5012455,343.0,126.5,0.0,500.0,-216.5,-0.5414401163685437,382.06462204368194,0.13457830250263214,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
34,1663874501.509697,343.0,124.5,0.0,500.0,-218.5,-0.5455100692077713,380.5564010743423,0.13457830250263214,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
35,1663874501.5127044,343.0,124.5,0.0,500.0,-218.5,-0.5455100692077713,380.5564010743423,0.13457830250263214,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
36,1663874501.5150867,343.0,124.5,0.0,500.0,-218.5,-0.5455100692077713,380.5564010743423,0.13457830250263214,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
37,1663874501.5226529,343.0,124.5,0.0,500.0,-218.5,-0.5455100692077713,380.5564010743423,0.13457830250263214,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
38,1663874501.541905,343.0,124.5,0.0,500.0,-218.5,-0.5455100692077713,380.5564010743423,0.0769018828868866,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
39,1663874501.5449553,341.0,127.5,0.0,500.0,-213.5,-0.5352976438092366,382.6086410562892,0.0769018828868866,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
40,1663874501.547693,341.0,127.5,0.0,500.0,-213.5,-0.5352976438092366,382.6086410562892,0.0769018828868866,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
41,1663874501.550383,340.0,127.5,0.0,500.0,-212.5,-0.5332401364429242,382.5005864256018,0.0769018828868866,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
42,1663874501.5529447,340.0,127.5,0.0,500.0,-212.5,-0.5332401364429242,382.5005864256018,0.0769018828868866,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
43,1663874501.5775692,340.0,127.5,0.0,500.0,-212.5,-0.5332401364429242,382.5005864256018,0.0769018828868866,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
44,1663874501.5804715,340.0,127.5,0.0,500.0,-212.5,-0.5332401364429242,382.5005864256018,0.0769018828868866,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
45,1663874501.5997922,340.0,127.5,0.0,500.0,-212.5,-0.5332401364429242,382.5005864256018,0.0769018828868866,-0.0,2.302,1.096,0.6217041015625,2.302,1.096,0.6217041015625
