,time[s],front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2
0,1661443291.1661427,64.0,87.0,0.3,500.0,22.0,0.11234545817437695,173.41968896364295,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1661443291.1761982,64.0,87.5,0.3,500.0,21.5,0.10981286449304516,173.07062720007247,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1661443291.213462,65.0,87.5,0.3,500.0,22.5,0.11487660541689913,174.71338673182004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1661443291.2230198,65.0,87.5,0.3,500.0,22.5,0.11487660541689913,174.71338673182004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1661443291.2263098,63.5,85.0,0.3,500.0,23.5,0.11993443603492923,173.991501617955,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1661443291.2277277,63.5,85.0,0.3,500.0,23.5,0.11993443603492923,173.991501617955,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1661443291.266915,63.5,85.0,0.3,500.0,23.5,0.11993443603492923,173.991501617955,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1661443291.2697108,122.0,85.0,0.3,500.0,82.0,0.3980638352881161,268.2051556428452,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1661443291.2841816,122.0,86.5,0.3,500.0,80.5,0.391509454178525,267.4443452032648,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1661443291.3048885,120.5,86.5,0.3,500.0,79.0,0.3849194111298781,265.17074063028775,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1661443291.307488,120.5,86.5,0.3,500.0,79.0,0.3849194111298781,265.17074063028775,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1661443291.31585,120.5,86.5,0.3,500.0,79.0,0.3849194111298781,265.17074063028775,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1661443291.339693,121.5,86.5,0.3,500.0,80.0,0.3893167218331408,266.688017212229,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1661443291.358477,123.5,86.5,0.3,500.0,82.0,0.3980638352881161,269.70389490666787,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1661443291.3922255,123.5,84.5,0.3,500.0,84.0,0.40674707172597097,270.6949676079981,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1661443291.4058833,123.5,84.5,0.3,500.0,84.0,0.40674707172597097,270.6949676079981,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1661443291.4469411,123.5,84.5,0.3,500.0,84.0,0.40674707172597097,270.6949676079981,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1661443291.4924083,122.5,85.5,0.3,500.0,82.0,0.3980638352881161,268.7047353974528,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1661443291.5055342,118.5,86.5,0.3,500.0,77.0,0.3760777081031161,262.11816096893114,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
