front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s]
0,0,0.3,500,0,0.0,0,1642083267.6812694
0,0,0.3,500,0,0.0,0,1642083267.6814234
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.6815264
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.6816509
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.6817544
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.692421
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7035718
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.70378
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7038627
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.703925
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7039857
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7040458
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7092187
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.709405
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7094872
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7151964
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7259126
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7261598
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7263567
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7265203
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7266138
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7267253
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7268212
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7269301
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7270205
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7271554
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7272491
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7273893
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7274806
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7275903
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7279603
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.733643
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.733816
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7339585
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7340798
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.734188
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7343013
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.734411
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.734522
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.734677
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7347794
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7349052
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7350044
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7350943
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7351856
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7352746
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7353637
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7354524
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7355425
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7356145
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7356858
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.735752
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7358184
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7358944
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.735962
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7360315
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7360988
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7361655
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.736231
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7362967
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.736362
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.736443
598.0,606.0,0.3,500,8.0,0.041002647445327445,0,1642083267.7365093
