front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s]
0,0,-0.3,500,0,0.0,0,1642082514.6994941
0,0,-0.3,500,0,0.0,0,1642082514.6996176
0,0,-0.3,500,0,0.0,0,1642082514.69972
0,0,-0.3,500,0,0.0,0,1642082514.6997988
0,0,-0.3,500,0,0.0,0,1642082514.699879
0,0,-0.3,500,0,0.0,0,1642082514.7006233
0,0,-0.3,500,0,0.0,0,1642082514.7008612
0,0,-0.3,500,0,0.0,0,1642082514.700952
0,0,-0.3,500,0,0.0,0,1642082514.7010307
0,0,-0.3,500,0,0.0,0,1642082514.7011073
0,0,-0.3,500,0,0.0,0,1642082514.7011845
0,0,-0.3,500,0,0.0,0,1642082514.7012599
0,0,-0.3,500,0,0.0,0,1642082514.7013333
0,0,-0.3,500,0,0.0,0,1642082514.7014067
0,0,-0.3,500,0,0.0,0,1642082514.7015033
0,0,-0.3,500,0,0.0,0,1642082514.7015975
0,0,-0.3,500,0,0.0,0,1642082514.701674
0,0,-0.3,500,0,0.0,0,1642082514.7017488
0,0,-0.3,500,0,0.0,0,1642082514.70184
0,0,-0.3,500,0,0.0,0,1642082514.7019227
0,0,-0.3,500,0,0.0,0,1642082514.7020004
0,0,-0.3,500,0,0.0,0,1642082514.702077
0,0,-0.3,500,0,0.0,0,1642082514.7021525
0,0,-0.3,500,0,0.0,0,1642082514.7022266
0,0,-0.3,500,0,0.0,0,1642082514.7023017
0,0,-0.3,500,0,0.0,0,1642082514.7023761
0,0,-0.3,500,0,0.0,0,1642082514.7024515
0,0,-0.3,500,0,0.0,0,1642082514.7025273
0,0,-0.3,500,0,0.0,0,1642082514.702602
0,0,-0.3,500,0,0.0,0,1642082514.7026784
0,0,-0.3,500,0,0.0,0,1642082514.7027535
0,0,-0.3,500,0,0.0,0,1642082514.7028444
0,0,-0.3,500,0,0.0,0,1642082514.702927
0,0,-0.3,500,0,0.0,0,1642082514.7030046
0,0,-0.3,500,0,0.0,0,1642082514.7030807
0,0,-0.3,500,0,0.0,0,1642082514.7031565
0,0,-0.3,500,0,0.0,0,1642082514.7032309
0,0,-0.3,500,0,0.0,0,1642082514.703306
0,0,-0.3,500,0,0.0,0,1642082514.7033799
0,0,-0.3,500,0,0.0,0,1642082514.703455
0,0,-0.3,500,0,0.0,0,1642082514.7035294
0,0,-0.3,500,0,0.0,0,1642082514.7036037
0,0,-0.3,500,0,0.0,0,1642082514.7036793
0,0,-0.3,500,0,0.0,0,1642082514.7037542
0,0,-0.3,500,0,0.0,0,1642082514.703843
0,0,-0.3,500,0,0.0,0,1642082514.7039201
0,0,-0.3,500,0,0.0,0,1642082514.704002
0,0,-0.3,500,0,0.0,0,1642082514.7040787
0,0,-0.3,500,0,0.0,0,1642082514.704155
0,0,-0.3,500,0,0.0,0,1642082514.7042296
0,0,-0.3,500,0,0.0,0,1642082514.7043047
0,0,-0.3,500,0,0.0,0,1642082514.7043808
0,0,-0.3,500,0,0.0,0,1642082514.7044556
0,0,-0.3,500,0,0.0,0,1642082514.70453
0,0,-0.3,500,0,0.0,0,1642082514.704605
0,0,-0.3,500,0,0.0,0,1642082514.704681
0,0,-0.3,500,0,0.0,0,1642082514.7047691
0,0,-0.3,500,0,0.0,0,1642082514.7048604
0,0,-0.3,500,0,0.0,0,1642082514.7049382
0,0,-0.3,500,0,0.0,0,1642082514.7050204
0,0,-0.3,500,0,0.0,0,1642082514.705098
0,0,-0.3,500,0,0.0,0,1642082514.705175
0,0,-0.3,500,0,0.0,0,1642082514.7052493
0,0,-0.3,500,0,0.0,0,1642082514.705325
0,0,-0.3,500,0,0.0,0,1642082514.7053995
0,0,-0.3,500,0,0.0,0,1642082514.7054756
0,0,-0.3,500,0,0.0,0,1642082514.705564
0,0,-0.3,500,0,0.0,0,1642082514.7056406
0,0,-0.3,500,0,0.0,0,1642082514.7057152
0,0,-0.3,500,0,0.0,0,1642082514.705791
0,0,-0.3,500,0,0.0,0,1642082514.7058816
0,0,-0.3,500,0,0.0,0,1642082514.7059598
0,0,-0.3,500,0,0.0,0,1642082514.706041
0,0,-0.3,500,0,0.0,0,1642082514.7061179
0,0,-0.3,500,0,0.0,0,1642082514.7061942
0,0,-0.3,500,0,0.0,0,1642082514.7062738
0,0,-0.3,500,0,0.0,0,1642082514.7063491
0,0,-0.3,500,0,0.0,0,1642082514.7064245
0,0,-0.3,500,0,0.0,0,1642082514.7064993
0,0,-0.3,500,0,0.0,0,1642082514.7065747
0,0,-0.3,500,0,0.0,0,1642082514.7066498
0,0,-0.3,500,0,0.0,0,1642082514.7067246
0,0,-0.3,500,0,0.0,0,1642082514.706799
0,0,-0.3,500,0,0.0,0,1642082514.7068892
0,0,-0.3,500,0,0.0,0,1642082514.7069676
0,0,-0.3,500,0,0.0,0,1642082514.7070498
0,0,-0.3,500,0,0.0,0,1642082514.7071278
0,0,-0.3,500,0,0.0,0,1642082514.707203
0,0,-0.3,500,0,0.0,0,1642082514.7072778
0,0,-0.3,500,0,0.0,0,1642082514.7073524
0,0,-0.3,500,0,0.0,0,1642082514.7074268
0,0,-0.3,500,0,0.0,0,1642082514.707502
0,0,-0.3,500,0,0.0,0,1642082514.7075756
0,0,-0.3,500,0,0.0,0,1642082514.7076504
0,0,-0.3,500,0,0.0,0,1642082514.7077246
0,0,-0.3,500,0,0.0,0,1642082514.7077994
0,0,-0.3,500,0,0.0,0,1642082514.7078896
0,0,-0.3,500,0,0.0,0,1642082514.7079666
0,0,-0.3,500,0,0.0,0,1642082514.7080553
0,0,-0.3,500,0,0.0,0,1642082514.7081342
0,0,-0.3,500,0,0.0,0,1642082514.7082105
0,0,-0.3,500,0,0.0,0,1642082514.708286
0,0,-0.3,500,0,0.0,0,1642082514.708362
0,0,-0.3,500,0,0.0,0,1642082514.708436
0,0,-0.3,500,0,0.0,0,1642082514.7085109
0,0,-0.3,500,0,0.0,0,1642082514.7085862
0,0,-0.3,500,0,0.0,0,1642082514.7086623
0,0,-0.3,500,0,0.0,0,1642082514.7087374
0,0,-0.3,500,0,0.0,0,1642082514.7088137
0,0,-0.3,500,0,0.0,0,1642082514.7089043
0,0,-0.3,500,0,0.0,0,1642082514.708982
0,0,-0.3,500,0,0.0,0,1642082514.7090638
0,0,-0.3,500,0,0.0,0,1642082514.7091405
0,0,-0.3,500,0,0.0,0,1642082514.7092173
0,0,-0.3,500,0,0.0,0,1642082514.7092931
0,0,-0.3,500,0,0.0,0,1642082514.7093675
0,0,-0.3,500,0,0.0,0,1642082514.7094426
0,0,-0.3,500,0,0.0,0,1642082514.709557
0,0,-0.3,500,0,0.0,0,1642082514.709639
0,0,-0.3,500,0,0.0,0,1642082514.7097151
0,0,-0.3,500,0,0.0,0,1642082514.70979
0,0,-0.3,500,0,0.0,0,1642082514.7098656
0,0,-0.3,500,0,0.0,0,1642082514.709956
0,0,-0.3,500,0,0.0,0,1642082514.7099984
0,0,-0.3,500,0,0.0,0,1642082514.7100239
0,0,-0.3,500,0,0.0,0,1642082514.7100515
0,0,-0.3,500,0,0.0,0,1642082514.710078
0,0,-0.3,500,0,0.0,0,1642082514.710104
0,0,-0.3,500,0,0.0,0,1642082514.7101297
0,0,-0.3,500,0,0.0,0,1642082514.710156
0,0,-0.3,500,0,0.0,0,1642082514.7101817
0,0,-0.3,500,0,0.0,0,1642082514.7102072
0,0,-0.3,500,0,0.0,0,1642082514.7102325
0,0,-0.3,500,0,0.0,0,1642082514.7102585
0,0,-0.3,500,0,0.0,0,1642082514.710284
0,0,-0.3,500,0,0.0,0,1642082514.7103097
0,0,-0.3,500,0,0.0,0,1642082514.7103353
0,0,-0.3,500,0,0.0,0,1642082514.7103605
0,0,-0.3,500,0,0.0,0,1642082514.710386
0,0,-0.3,500,0,0.0,0,1642082514.7104115
0,0,-0.3,500,0,0.0,0,1642082514.71044
0,0,-0.3,500,0,0.0,0,1642082514.710466
0,0,-0.3,500,0,0.0,0,1642082514.7104912
0,0,-0.3,500,0,0.0,0,1642082514.7105165
0,0,-0.3,500,0,0.0,0,1642082514.7105415
0,0,-0.3,500,0,0.0,0,1642082514.710567
0,0,-0.3,500,0,0.0,0,1642082514.710592
0,0,-0.3,500,0,0.0,0,1642082514.710617
0,0,-0.3,500,0,0.0,0,1642082514.7106423
0,0,-0.3,500,0,0.0,0,1642082514.710668
0,0,-0.3,500,0,0.0,0,1642082514.7106931
0,0,-0.3,500,0,0.0,0,1642082514.7107189
0,0,-0.3,500,0,0.0,0,1642082514.7107449
0,0,-0.3,500,0,0.0,0,1642082514.7107704
0,0,-0.3,500,0,0.0,0,1642082514.7107964
0,0,-0.3,500,0,0.0,0,1642082514.7108219
0,0,-0.3,500,0,0.0,0,1642082514.7108471
0,0,-0.3,500,0,0.0,0,1642082514.710873
0,0,-0.3,500,0,0.0,0,1642082514.7108984
0,0,-0.3,500,0,0.0,0,1642082514.7109315
0,0,-0.3,500,0,0.0,0,1642082514.7109585
0,0,-0.3,500,0,0.0,0,1642082514.7109845
0,0,-0.3,500,0,0.0,0,1642082514.7110102
0,0,-0.3,500,0,0.0,0,1642082514.7110364
0,0,-0.3,500,0,0.0,0,1642082514.7110639
0,0,-0.3,500,0,0.0,0,1642082514.7110898
0,0,-0.3,500,0,0.0,0,1642082514.7111156
0,0,-0.3,500,0,0.0,0,1642082514.711141
0,0,-0.3,500,0,0.0,0,1642082514.7111664
0,0,-0.3,500,0,0.0,0,1642082514.711192
0,0,-0.3,500,0,0.0,0,1642082514.7112172
0,0,-0.3,500,0,0.0,0,1642082514.7112422
0,0,-0.3,500,0,0.0,0,1642082514.711268
0,0,-0.3,500,0,0.0,0,1642082514.7112932
0,0,-0.3,500,0,0.0,0,1642082514.711319
0,0,-0.3,500,0,0.0,0,1642082514.7113447
0,0,-0.3,500,0,0.0,0,1642082514.7113702
0,0,-0.3,500,0,0.0,0,1642082514.7113955
0,0,-0.3,500,0,0.0,0,1642082514.7114215
0,0,-0.3,500,0,0.0,0,1642082514.7114468
0,0,-0.3,500,0,0.0,0,1642082514.711472
0,0,-0.3,500,0,0.0,0,1642082514.7114978
