Full Time,10.419591426849365
Full Distance,1355
Base Speed,2.5
time[s],front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2
0,1644502781.3550596,103.0,98.0,-0.2458527631418588,500.0,-5.0,-0.02563540852167748,254.1472368581412,0.0,0.0,1.757,1.331,-0.169921875,1.757,1.331,-0.169921875
1,1644502781.364505,103.0,98.0,-0.2496911590569848,500.0,-5.0,-0.02563540852167748,250.3088409430152,0.0,0.0,1.757,1.331,-0.169921875,1.757,1.331,-0.169921875
2,1644502781.3781989,102.0,97.0,-0.2496911590569848,500.0,-5.0,-0.02563540852167748,250.3088409430152,0.0,0.0,1.757,1.331,-0.169921875,1.757,1.331,-0.169921875
3,1644502781.3864524,99.0,96.0,-0.2496911590569848,500.0,-3.0,-0.01538340178059515,250.3088409430152,0.0,0.0,1.757,1.331,-0.169921875,1.757,1.331,-0.169921875
4,1644502781.3892276,99.0,96.0,-0.2496911590569848,500.0,-3.0,-0.01538340178059515,250.3088409430152,0.0,0.0,1.757,1.331,-0.169921875,1.757,1.331,-0.169921875
5,1644502781.4022822,99.0,96.0,-0.2496911590569848,500.0,-3.0,-0.01538340178059515,250.3088409430152,0.0,0.0,1.757,1.331,-0.169921875,1.757,1.331,-0.169921875
6,1644502781.4209967,99.0,96.0,-0.2496911590569848,500.0,-3.0,-0.01538340178059515,250.3088409430152,0.0,0.0,1.757,1.331,-0.169921875,1.757,1.331,-0.169921875
7,1644502781.424234,99.0,96.0,-0.2496911590569848,500.0,-3.0,-0.01538340178059515,250.3088409430152,0.0,0.0,1.757,1.331,-0.169921875,1.757,1.331,-0.169921875
8,1644502781.428111,99.0,96.0,-0.2482683403412661,500.0,-3.0,-0.01538340178059515,251.7316596587339,0.0,0.0,1.757,1.331,-0.169921875,1.757,1.331,-0.169921875
9,1644502781.4307084,99.0,96.0,-0.2482683403412661,500.0,-3.0,-0.01538340178059515,251.7316596587339,0.0,0.0,1.757,1.331,-0.169921875,1.757,1.331,-0.169921875
10,1644502781.449118,100.0,96.0,-0.2482683403412661,500.0,-4.0,-0.02050994413944655,251.7316596587339,0.0,0.0,1.757,1.331,-0.169921875,1.757,1.331,-0.169921875
11,1644502781.4578378,100.0,96.0,-0.2482683403412661,500.0,-4.0,-0.02050994413944655,251.7316596587339,0.0,0.0,1.757,1.331,-0.169921875,1.757,1.331,-0.169921875
12,1644502781.4606438,100.0,96.0,-0.2482683403412661,500.0,-4.0,-0.02050994413944655,251.7316596587339,0.0,0.0,1.757,1.331,-0.169921875,1.757,1.331,-0.169921875
13,1644502781.4737837,100.0,96.0,-0.2482683403412661,500.0,-4.0,-0.02050994413944655,251.7316596587339,0.0,0.0,1.757,1.331,-0.169921875,1.757,1.331,-0.169921875
