front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s]
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.331678
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3317657
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.331844
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3319168
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3319888
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3320653
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.332144
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.332223
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3323092
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3324006
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3324916
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3379536
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3382046
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.338316
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3384063
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3384786
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3385472
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3386216
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3387172
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.3387876
534.0,506.0,0.1894213197969543,500,-28.0,-0.14261492957058067,689.4213197969543,1642508022.349692
534.0,506.0,0.18951035413584863,500,-28.0,-0.14261492957058067,689.5103541358486,1642508022.349847
534.0,506.0,0.18951035413584863,500,-28.0,-0.14261492957058067,689.5103541358486,1642508022.3499205
534.0,509.0,0.18951035413584863,500,-25.0,-0.12750955821523827,689.5103541358486,1642508022.3499997
534.0,509.0,0.18951035413584863,500,-25.0,-0.12750955821523827,689.5103541358486,1642508022.3500636
534.0,509.0,0.18951035413584863,500,-25.0,-0.12750955821523827,689.5103541358486,1642508022.3501244
534.0,509.0,0.18951035413584863,500,-25.0,-0.12750955821523827,689.5103541358486,1642508022.3501859
534.0,509.0,0.18951035413584863,500,-25.0,-0.12750955821523827,689.5103541358486,1642508022.350246
