front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s],rw_speed[rad/s],lw_speeed[rad/s]
449.0,451.0,0.0980762361336773,500,2.0,0.010256050641667055,598.0762361336773,1642518841.8115072,0.0,0.0
449.0,451.0,0.10086070506749933,500,2.0,0.010256050641667055,600.8607050674993,1642518841.8117857,0.0,0.0
449.0,451.0,0.10086070506749933,500,2.0,0.010256050641667055,600.8607050674993,1642518841.8118865,0.0,0.0
450.0,448.0,0.10086070506749933,500,-2.0,-0.010256050641667055,600.8607050674993,1642518841.8119786,0.0,0.0
450.0,448.0,0.10086070506749933,500,-2.0,-0.010256050641667055,600.8607050674993,1642518841.812064,0.0,0.0
450.0,448.0,0.10086070506749933,500,-2.0,-0.010256050641667055,600.8607050674993,1642518841.8121612,0.0,0.0
450.0,448.0,0.10086070506749933,500,-2.0,-0.010256050641667055,600.8607050674993,1642518841.8225446,0.0,0.0
450.0,448.0,0.10086070506749933,500,-2.0,-0.010256050641667055,600.8607050674993,1642518841.822868,0.0,0.0
450.0,448.0,0.10086070506749933,500,-2.0,-0.010256050641667055,600.8607050674993,1642518841.8229716,0.0,0.0
450.0,448.0,0.10086070506749933,500,-2.0,-0.010256050641667055,600.8607050674993,1642518841.8230572,0.0,0.0
450.0,448.0,0.10086070506749933,500,-2.0,-0.010256050641667055,600.8607050674993,1642518841.8231537,0.0,0.0
450.0,448.0,0.10086070506749933,500,-2.0,-0.010256050641667055,600.8607050674993,1642518841.8394668,0.0,0.0
450.0,448.0,0.10086070506749933,500,-2.0,-0.010256050641667055,600.8607050674993,1642518841.8397186,0.0,0.0
450.0,448.0,0.10086070506749933,500,-2.0,-0.010256050641667055,600.8607050674993,1642518841.8398259,0.0,0.0
450.0,448.0,0.10086070506749933,500,-2.0,-0.010256050641667055,600.8607050674993,1642518841.856978,0.0,0.0
450.0,448.0,0.09854597577855861,500,-2.0,-0.010256050641667055,598.5459757785586,1642518841.8572204,0.0,0.0
