front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s]
108.0,108.0,-0.3,500.0,0.0,0.0,258.0,0.0003294944763183594
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.00040078163146972656
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.0004782676696777344
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.005828142166137695
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.005964756011962891
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.00603175163269043
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.006094932556152344
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.006159067153930664
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.006230831146240234
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.0062940120697021484
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.006360769271850586
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.0064258575439453125
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.006489753723144531
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.006600141525268555
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.006659746170043945
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.006728649139404297
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.006792783737182617
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.0068492889404296875
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.006906032562255859
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.0069730281829833984
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.007029294967651367
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.007086515426635742
108.0,109.0,-0.3,500.0,1.0,0.005128160174234396,257.55045958229704,0.007142782211303711
